name,time,flow_in,flow_out,pressure_in,pressure_out
aorta,6.4595999599960052e-01,-3.4496312142530448e+00,2.2090938793191910e+00,1.8121574350576682e+05,1.8133172360903898e+05
aorta,6.4606870687068607e-01,-3.4537660814880002e+00,2.2069997638589083e+00,1.8120954309688249e+05,1.8132594350217542e+05
aorta,6.4617741774177340e-01,-3.4579009487350429e+00,2.2048978070911640e+00,1.8120334045758870e+05,1.8132015963950503e+05
aorta,6.4628612861286072e-01,-3.4620358159761420e+00,2.2027880382725673e+00,1.8119713559644794e+05,1.8131437201801705e+05
aorta,6.4639483948394805e-01,-3.4661706832202142e+00,2.2006704868798934e+00,1.8119092852199051e+05,1.8130858063473797e+05
aorta,6.4650355035503537e-01,-3.4703055504627986e+00,2.1985451826087554e+00,1.8118471924271437e+05,1.8130278548673200e+05
aorta,6.4661226122612270e-01,-3.4744404177061274e+00,2.1964121553722582e+00,1.8117850776708490e+05,1.8129698657110159e+05
aorta,6.4672097209721002e-01,-3.4785752849490845e+00,2.1942714352996413e+00,1.8117229410353460e+05,1.8129118388498790e+05
aorta,6.4682968296829735e-01,-3.4827101521922268e+00,2.1921230527349036e+00,1.8116607826046291e+05,1.8128537742557138e+05
aorta,6.4693839383938290e-01,-3.4868450194352776e+00,2.1899670382354168e+00,1.8115986024623594e+05,1.8127956719007224e+05
aorta,6.4704710471047022e-01,-3.4909798866782711e+00,2.1878034225705254e+00,1.8115364006918628e+05,1.8127375317575096e+05
aorta,6.4715581558155755e-01,-3.4951147539213960e+00,2.1856322367201302e+00,1.8114741773761270e+05,1.8126793537990874e+05
aorta,6.4726452645264487e-01,-3.4992496211644548e+00,2.1834535118732581e+00,1.8114119325978003e+05,1.8126211379988806e+05
aorta,6.4737323732373220e-01,-3.5033844884075465e+00,2.1812672794266224e+00,1.8113496664391880e+05,1.8125628843307309e+05
aorta,6.4748194819481952e-01,-3.5075193556506212e+00,2.1790735709831646e+00,1.8112873789822511e+05,1.8125045927689021e+05
aorta,6.4759065906590685e-01,-3.5116542228937049e+00,2.1768724183505861e+00,1.8112250703086038e+05,1.8124462632880852e+05
aorta,6.4769936993699417e-01,-3.5157890901367850e+00,2.1746638535398639e+00,1.8111627404995108e+05,1.8123878958634025e+05
aorta,6.4780808080807972e-01,-3.5199239573798651e+00,2.1724479087637549e+00,1.8111003896358859e+05,1.8123294904704124e+05
aorta,6.4791679167916705e-01,-3.5240588246228453e+00,2.1702246164352874e+00,1.8110380177982897e+05,1.8122710470851147e+05
aorta,6.4802550255025437e-01,-3.5285084619070917e+00,2.1679940072963562e+00,1.8109756166600526e+05,1.8122125656839155e+05
aorta,6.4813421342134170e-01,-3.5331438650923852e+00,2.1657561081939174e+00,1.8109131864368432e+05,1.8121540462435383e+05
aorta,6.4824292429242902e-01,-3.5376863853271545e+00,2.1635109434262061e+00,1.8108507325336157e+05,1.8120954887409473e+05
aorta,6.4835163516351635e-01,-3.5422753470371862e+00,2.1612585369859545e+00,1.8107882522186678e+05,1.8120368931533230e+05
aorta,6.4846034603460367e-01,-3.5468410880095860e+00,2.1589989131157541e+00,1.8107257470067672e+05,1.8119782594580646e+05
aorta,6.4856905690569100e-01,-3.5514184393508024e+00,2.1567320962496623e+00,1.8106632162526381e+05,1.8119195876327940e+05
aorta,6.4867776777677655e-01,-3.5559899855076100e+00,2.1544581110129997e+00,1.8106006603982585e+05,1.8118608776553621e+05
aorta,6.4878647864786387e-01,-3.5605644342565106e+00,2.1521769822233985e+00,1.8105380793398721e+05,1.8118021295038515e+05
aorta,6.4889518951895120e-01,-3.5651374317094766e+00,2.1498887348890072e+00,1.8104754732466108e+05,1.8117433431565817e+05
aorta,6.4900390039003852e-01,-3.5697111548104097e+00,2.1475933942077634e+00,1.8104128421506219e+05,1.8116845185921143e+05
aorta,6.4911261126112585e-01,-3.5742845150873586e+00,2.1452909855663358e+00,1.8103501861521785e+05,1.8116256557892566e+05
aorta,6.4922132213221317e-01,-3.5788580567763009e+00,2.1429815345391345e+00,1.8102875053170530e+05,1.8115667547270667e+05
aorta,6.4933003300330050e-01,-3.5834315077592458e+00,2.1406650668872946e+00,1.8102247997278583e+05,1.8115078153848581e+05
aorta,6.4943874387438782e-01,-3.5880050040951890e+00,2.1383416085576452e+00,1.8101620694583587e+05,1.8114488377422039e+05
aorta,6.4954745474547515e-01,-3.5925784777546337e+00,2.1360111856816668e+00,1.8100993145863185e+05,1.8113898217789421e+05
aorta,6.4965616561656070e-01,-3.5971519627523274e+00,2.1336738245744389e+00,1.8100365351870720e+05,1.8113307674751795e+05
aorta,6.4976487648764802e-01,-3.6017254420807849e+00,2.1313295517335709e+00,1.8099737313367368e+05,1.8112716748112964e+05
aorta,6.4987358735873535e-01,-3.6062989242439722e+00,2.1289783938381239e+00,1.8099109031106028e+05,1.8112125437679511e+05
aorta,6.4998229822982267e-01,-3.6108724049897947e+00,2.1266203777475194e+00,1.8098480505839360e+05,1.8111533743260847e+05
aorta,6.5009100910091000e-01,-3.6154458864442995e+00,2.1242555305004358e+00,1.8097851738315728e+05,1.8110941664669249e+05
aorta,6.5019971997199733e-01,-3.6200193675444630e+00,2.1218838793136889e+00,1.8097222729281202e+05,1.8110349201719917e+05
aorta,6.5030843084308465e-01,-3.6245928488217976e+00,2.1195054515811047e+00,1.8096593479478528e+05,1.8109756354231003e+05
aorta,6.5041714171417198e-01,-3.6291663300105461e+00,2.1171202748723803e+00,1.8095963989647615e+05,1.8109163122023668e+05
aorta,6.5052585258525752e-01,-3.6337398112435877e+00,2.1147283769319296e+00,1.8095334260525263e+05,1.8108569504922116e+05
aorta,6.5063456345634485e-01,-3.6383132924543715e+00,2.1123297856777183e+00,1.8094704292845266e+05,1.8107975502753648e+05
aorta,6.5074327432743218e-01,-3.6428867736763957e+00,2.1099245292000881e+00,1.8094074087338336e+05,1.8107381115348692e+05
aorta,6.5085198519851950e-01,-3.6474602548927995e+00,2.1075126357605667e+00,1.8093443644732112e+05,1.8106786342540861e+05
aorta,6.5096069606960683e-01,-3.6520337361120134e+00,2.1050941337906690e+00,1.8092812965751125e+05,1.8106191184166979e+05
aorta,6.5106940694069415e-01,-3.6566072173298227e+00,2.1026690518906843e+00,1.8092182051116793e+05,1.8105595640067142e+05
aorta,6.5117811781178148e-01,-3.6611806985483346e+00,2.1002374188284541e+00,1.8091550901547392e+05,1.8104999710084745e+05
aorta,6.5128682868286880e-01,-3.6657541797664948e+00,2.0977992635381351e+00,1.8090919517758040e+05,1.8104403394066531e+05
aorta,6.5139553955395435e-01,-3.6703276609848303e+00,2.0953546151189530e+00,1.8090287900460686e+05,1.8103806691862628e+05
aorta,6.5150425042504168e-01,-3.6749011422029665e+00,2.0929035028339471e+00,1.8089656050364082e+05,1.8103209603326593e+05
aorta,6.5161296129612900e-01,-3.6794746234213149e+00,2.0904459561086992e+00,1.8089023968173773e+05,1.8102612128315456e+05
aorta,6.5172167216721633e-01,-3.6840481046395563e+00,2.0879820045300543e+00,1.8088391654592071e+05,1.8102014266689747e+05
aorta,6.5183038303830365e-01,-3.6886215858578524e+00,2.0855116778448304e+00,1.8087759110318049e+05,1.8101416018313551e+05
aorta,6.5193909390939098e-01,-3.6931950670761204e+00,2.0830350059585152e+00,1.8087126336047510e+05,1.8100817383054536e+05
aorta,6.5204780478047830e-01,-3.6977685482944023e+00,2.0805520189339570e+00,1.8086493332472985e+05,1.8100218360784001e+05
aorta,6.5215651565156563e-01,-3.7023420295126770e+00,2.0780627469900375e+00,1.8085860100283698e+05,1.8099618951376903e+05
aorta,6.5226522652265118e-01,-3.7070753097648446e+00,2.0755672195510222e+00,1.8085226597136515e+05,1.8099019154711714e+05
aorta,6.5237393739373850e-01,-3.7121681378431437e+00,2.0730654625413534e+00,1.8084592753107796e+05,1.8098418970669646e+05
aorta,6.5248264826482583e-01,-3.7170811920084987e+00,2.0705574989140194e+00,1.8083958675504150e+05,1.8097818399133839e+05
aorta,6.5259135913591315e-01,-3.7220841331303252e+00,2.0680433510927121e+00,1.8083324309522376e+05,1.8097217439989050e+05
aorta,6.5270007000700048e-01,-3.7270421307739166e+00,2.0655230417230732e+00,1.8082689684021706e+05,1.8096616093121661e+05
aorta,6.5280878087808780e-01,-3.7320226001566250e+00,2.0629965935997183e+00,1.8082054785489396e+05,1.8096014358419715e+05
aorta,6.5291749174917513e-01,-3.7369918336697756e+00,2.0604640296642325e+00,1.8081419621709755e+05,1.8095412235772953e+05
aorta,6.5302620262026245e-01,-3.7419666851177040e+00,2.0579253730077389e+00,1.8080784189788136e+05,1.8094809725072849e+05
aorta,6.5313491349134800e-01,-3.7469387275982444e+00,2.0553806468687776e+00,1.8080148492172759e+05,1.8094206826212665e+05
aorta,6.5324362436243533e-01,-3.7519121745623569e+00,2.0528298746328630e+00,1.8079512528634229e+05,1.8093603539087460e+05
aorta,6.5335233523352265e-01,-3.7568849192848051e+00,2.0502730798315465e+00,1.8078876300279054e+05,1.8092999863594162e+05
aorta,6.5346104610460998e-01,-3.7618580151280852e+00,2.0477102861415917e+00,1.8078239807541505e+05,1.8092395799631579e+05
aorta,6.5356975697569730e-01,-3.7668309354109497e+00,2.0451415173841094e+00,1.8077603051188283e+05,1.8091791347100449e+05
aorta,6.5367846784678463e-01,-3.7718039434740223e+00,2.0425667975236927e+00,1.8076966031815863e+05,1.8091186505903484e+05
